PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36444481","Prescribed anti-glaucoma medication consumption and road traffic crash","Lu L, Contrand B, Schweitzer C, Gadegbeku B, Delcourt C, Lagarde E.","Pharmacoepidemiol Drug Saf. 2023 May;32(5):535-544. doi: 10.1002/pds.5577. Epub 2022 Dec 16.","Lu L","Pharmacoepidemiol Drug Saf","2023","2022/11/29","","","10.1002/pds.5577"
"36424189","Potentially inappropriate medications in nursing homes and the community older adults using the French health insurance databases","Drusch S, Le Tri T, Ankri J, Michelon H, Zureik M, Herr M.","Pharmacoepidemiol Drug Saf. 2023 Apr;32(4):475-485. doi: 10.1002/pds.5575. Epub 2022 Dec 2.","Drusch S","Pharmacoepidemiol Drug Saf","2023","2022/11/24","","","10.1002/pds.5575"
"36420643","Validation of claims-based algorithms to identify non-live birth outcomes","Zhu Y, Bateman BT, Hernandez-Diaz S, Gray KJ, Straub L, Reimers RM, Manning-Geist B, Yoselevsky E, Taylor LG, Ouellet-Hellstrom R, Ma Y, Qiang Y, Hua W, Huybrechts KF.","Pharmacoepidemiol Drug Saf. 2023 Apr;32(4):468-474. doi: 10.1002/pds.5574. Epub 2022 Nov 30.","Zhu Y","Pharmacoepidemiol Drug Saf","2023","2022/11/24","","","10.1002/pds.5574"
"36401747","Investigating drug safety in pregnancy based on the German Pharmacoepidemiological Research Database (GePaRD): A proof-of-concept analysis on the association between valproate and spina bifida","Haug U, Kollhorst B, Schink T, Thöne K, Dathe K, Schaefer C, Onken M.","Pharmacoepidemiol Drug Saf. 2023 Feb;32(2):148-157. doi: 10.1002/pds.5573. Epub 2022 Nov 30.","Haug U","Pharmacoepidemiol Drug Saf","2023","2022/11/19","","","10.1002/pds.5573"
"36401739","A review of pregnancy and lactation postmarketing studies required by the FDA","Krastein J, Sahin L, Yao L.","Pharmacoepidemiol Drug Saf. 2023 Mar;32(3):287-297. doi: 10.1002/pds.5572. Epub 2022 Dec 21.","Krastein J","Pharmacoepidemiol Drug Saf","2023","2022/11/19","","","10.1002/pds.5572"
"36394182","Healthcare system engagement and algorithm-identified cancer incidence following initiation of a new medication","D'Arcy ME, Stürmer T, Sandler RS, Baron JA, Jonsson-Funk ML, Troester MA, Lund JL.","Pharmacoepidemiol Drug Saf. 2023 Mar;32(3):321-329. doi: 10.1002/pds.5556. Epub 2022 Nov 30.","D'Arcy ME","Pharmacoepidemiol Drug Saf","2023","2022/11/17","PMC9931672","NIHMS1851178","10.1002/pds.5556"
"36382802","Impact of lifestyle and socioeconomic position on use of non-steroidal anti-inflammatory drugs: A population-based cohort study","Bonnesen K, Ehrenstein V, Grønkjaer MS, Pedersen L, Lash TL, Schmidt M.","Pharmacoepidemiol Drug Saf. 2023 Apr;32(4):455-467. doi: 10.1002/pds.5571. Epub 2022 Nov 22.","Bonnesen K","Pharmacoepidemiol Drug Saf","2023","2022/11/16","","","10.1002/pds.5571"
"36380400","Imputing missing covariates in time-to-event analysis within distributed research networks: A simulation study","Li D, Wong J, Li X, Toh S, Wang R.","Pharmacoepidemiol Drug Saf. 2023 Mar;32(3):330-340. doi: 10.1002/pds.5563. Epub 2022 Nov 30.","Li D","Pharmacoepidemiol Drug Saf","2023","2022/11/16","","","10.1002/pds.5563"
"36377036","Associations of prenatal exposure to non-steroidal anti-inflammatory drugs with preterm birth and small for gestational age infants among women with autoimmune disorders","Delker E, Kelly A, Chambers C, Johnson D, Bandoli G.","Pharmacoepidemiol Drug Saf. 2023 Feb;32(2):225-237. doi: 10.1002/pds.5570. Epub 2022 Nov 27.","Delker E","Pharmacoepidemiol Drug Saf","2023","2022/11/15","","","10.1002/pds.5570"
"36369928","More extreme duplication in FDA Adverse Event Reporting System detected by literature reference normalization and fuzzy string matching","Hung E, Hauben M, Essex H, Zou C, Bright S.","Pharmacoepidemiol Drug Saf. 2023 Mar;32(3):387-391. doi: 10.1002/pds.5555. Epub 2022 Dec 9.","Hung E","Pharmacoepidemiol Drug Saf","2023","2022/11/12","","","10.1002/pds.5555"
"36357173","Longitudinal effects of using and discontinuing central nervous system medications on cognitive functioning","Koch E, Johnell K, Kauppi K.","Pharmacoepidemiol Drug Saf. 2023 Apr;32(4):446-454. doi: 10.1002/pds.5569. Epub 2022 Nov 20.","Koch E","Pharmacoepidemiol Drug Saf","2023","2022/11/10","","","10.1002/pds.5569"
"36351883","Understanding the variability of pharmaco-epidemiological studies assessing the risk of appendicitis with mRNA COVID-19 vaccines","Jambon-Barbara C, Bernardeau C, Cracowski JL, Khouri C.","Pharmacoepidemiol Drug Saf. 2023 Jan;32(1):87-90. doi: 10.1002/pds.5560. Epub 2022 Nov 18.","Jambon-Barbara C","Pharmacoepidemiol Drug Saf","2023","2022/11/09","PMC9877887","","10.1002/pds.5560"
"36351880","Assessing medical product safety during pregnancy using parameterizable tools in the sentinel distributed database","Lyons JG, Suarez EA, Fazio-Eynullayeva E, Maro JC, Corey C, Li J, Toh S, Shinde MU.","Pharmacoepidemiol Drug Saf. 2023 Feb;32(2):158-215. doi: 10.1002/pds.5568. Epub 2022 Dec 14.","Lyons JG","Pharmacoepidemiol Drug Saf","2023","2022/11/09","","","10.1002/pds.5568"
"36349482","Identification of rheumatoid arthritis in German claims data using different algorithms: Validation by cross-sectional patient-reported survey data","Callhoff J, Albrecht K, Marschall U, Strangfeld A, Hoffmann F.","Pharmacoepidemiol Drug Saf. 2023 May;32(5):517-525. doi: 10.1002/pds.5562. Epub 2022 Dec 8.","Callhoff J","Pharmacoepidemiol Drug Saf","2023","2022/11/09","","","10.1002/pds.5562"
"36349471","High-dimensional propensity scores for empirical covariate selection in secondary database studies: Planning, implementation, and reporting","Rassen JA, Blin P, Kloss S, Neugebauer RS, Platt RW, Pottegård A, Schneeweiss S, Toh S.","Pharmacoepidemiol Drug Saf. 2023 Feb;32(2):93-106. doi: 10.1002/pds.5566. Epub 2022 Nov 22.","Rassen JA","Pharmacoepidemiol Drug Saf","2023","2022/11/09","PMC10099872","","10.1002/pds.5566"
"36345837","A data-informed approach using individualised dispensing patterns to estimate medicine exposure periods and dose from pharmaceutical claims data","Bharat C, Degenhardt L, Pearson SA, Buizen L, Wilson A, Dobbins T, Gisev N.","Pharmacoepidemiol Drug Saf. 2023 Mar;32(3):352-365. doi: 10.1002/pds.5567. Epub 2022 Nov 30.","Bharat C","Pharmacoepidemiol Drug Saf","2023","2022/11/08","","","10.1002/pds.5567"
"36345809","Effectiveness research in oncology with electronic health record data: A retrospective cohort study emulating the PALOMA-2 trial","Merola D, Young J, Schrag D, Lin KJ, Alwardt S, Schneeweiss S.","Pharmacoepidemiol Drug Saf. 2023 Apr;32(4):426-434. doi: 10.1002/pds.5565. Epub 2022 Nov 14.","Merola D","Pharmacoepidemiol Drug Saf","2023","2022/11/08","PMC10038825","NIHMS1853224","10.1002/pds.5565"
"36333979","Social media for early characterization of pandemic symptoms: A qualitative analysis of patient-reported COVID-19 experiences","Khashei M, Janiczak S, St Clair C, Liu W, Song JJ, Hua W, Falconer M, Eworuke E.","Pharmacoepidemiol Drug Saf. 2023 Mar;32(3):341-351. doi: 10.1002/pds.5564. Epub 2022 Nov 11.","Khashei M","Pharmacoepidemiol Drug Saf","2023","2022/11/05","PMC9877633","","10.1002/pds.5564"
"36331361","A new analytic tool for assessing the impact of the US Food and Drug Administration regulatory actions","Lu CY, Hou L, Kolonoski J, Petrone AB, Zhang F, Corey C, Huang TY, Bradley MC.","Pharmacoepidemiol Drug Saf. 2023 Mar;32(3):298-311. doi: 10.1002/pds.5552. Epub 2022 Nov 15.","Lu CY","Pharmacoepidemiol Drug Saf","2023","2022/11/04","","","10.1002/pds.5552"
"36309966","Off-label low dose amitriptyline for insomnia disorder: Patient-reported outcomes","Bakker MH, Hugtenburg JG, Smits MG, van der Horst HE, Slottje P.","Pharmacoepidemiol Drug Saf. 2023 Apr;32(4):435-445. doi: 10.1002/pds.5561. Epub 2022 Nov 20.","Bakker MH","Pharmacoepidemiol Drug Saf","2023","2022/10/30","","","10.1002/pds.5561"
"36305574","Detection of drug safety signal of drug-induced neutropenia and agranulocytosis in all-aged patients using electronic medical records","Sun C, Zhao L, Yuan Y, Xiang Y, Liu A.","Pharmacoepidemiol Drug Saf. 2023 Apr;32(4):416-425. doi: 10.1002/pds.5559. Epub 2022 Nov 6.","Sun C","Pharmacoepidemiol Drug Saf","2023","2022/10/28","","","10.1002/pds.5559"
"36300999","Trends and regional variations in prescriptions dispensed to stimulate uterine contractions at the end of pregnancy in Belgium: A community-based study from 2003 to 2018","Larcin L, Karakaya G, Rygaert X, Van Wilder P, Lamy C, Demyttenaere B, Damase-Michel C, Kirakoya-Samadoulougou F.","Pharmacoepidemiol Drug Saf. 2023 Feb;32(2):216-224. doi: 10.1002/pds.5558. Epub 2022 Nov 6.","Larcin L","Pharmacoepidemiol Drug Saf","2023","2022/10/27","","","10.1002/pds.5558"
"36300575","Exposure to nitrosatable drugs during pregnancy and childhood cancer: A matched case-control study in Denmark, 1996-2016","Sirirungreung A, Hansen J, He D, Huang X, Ritz B, Heck JE.","Pharmacoepidemiol Drug Saf. 2023 Apr;32(4):496-505. doi: 10.1002/pds.5557. Epub 2022 Dec 8.","Sirirungreung A","Pharmacoepidemiol Drug Saf","2023","2022/10/27","PMC10038857","NIHMS1860512","10.1002/pds.5557"
"36269007","Utilization of nonguideline concordant antibiotic treatment following acute otitis media in children in the United States","McGrath LJ, Frost HM, Newland JG, O'Neil CA, Sahrmann JM, Ma Y, Butler AM.","Pharmacoepidemiol Drug Saf. 2023 Feb;32(2):256-265. doi: 10.1002/pds.5554. Epub 2022 Nov 2.","McGrath LJ","Pharmacoepidemiol Drug Saf","2023","2022/10/21","PMC9877117","NIHMS1844582","10.1002/pds.5554"
"36251280","Development of a multivariate prediction model to identify individual case safety reports which require clinical review","Gosselt HR, Bazelmans EA, Lieber T, van Hunsel FPAM, Härmark L.","Pharmacoepidemiol Drug Saf. 2022 Dec;31(12):1300-1307. doi: 10.1002/pds.5553. Epub 2022 Oct 21.","Gosselt HR","Pharmacoepidemiol Drug Saf","2022","2022/10/17","","","10.1002/pds.5553"
"36251264","Quality of rheumatoid arthritis recording in United Kingdom Clinical Practice Research Datalink Aurum","Vasilakis-Scaramozza C, Hagberg KW, Persson R, Yelland E, Williams T, Myles P, Jick SS.","Pharmacoepidemiol Drug Saf. 2023 Jan;32(1):73-77. doi: 10.1002/pds.5551. Epub 2022 Oct 24.","Vasilakis-Scaramozza C","Pharmacoepidemiol Drug Saf","2023","2022/10/17","","","10.1002/pds.5551"
"36224724","A systematic review and meta-analysis of observational studies of the association between the use of incretin-based therapies and the risk of pancreatic cancer","Hidayat K, Zhou YY, Du HZ, Qin LQ, Shi BM, Li ZN.","Pharmacoepidemiol Drug Saf. 2023 Feb;32(2):107-125. doi: 10.1002/pds.5550. Epub 2022 Dec 11.","Hidayat K","Pharmacoepidemiol Drug Saf","2023","2022/10/13","","","10.1002/pds.5550"
"36222554","Development and validation of case-finding algorithms to identify acute pancreatitis in the Veterans Health Administration","Wang LL, Dobkin J, Salgado S, Kaplan DE, Yang YX.","Pharmacoepidemiol Drug Saf. 2022 Dec;31(12):1294-1299. doi: 10.1002/pds.5549. Epub 2022 Oct 20.","Wang LL","Pharmacoepidemiol Drug Saf","2022","2022/10/12","PMC9729430","NIHMS1842087","10.1002/pds.5549"
"36218170","Methods for drug safety signal detection using routinely collected observational electronic health care data: A systematic review","Coste A, Wong A, Bokern M, Bate A, Douglas IJ.","Pharmacoepidemiol Drug Saf. 2023 Jan;32(1):28-43. doi: 10.1002/pds.5548. Epub 2022 Nov 2.","Coste A","Pharmacoepidemiol Drug Saf","2023","2022/10/11","PMC10092128","","10.1002/pds.5548"
"36216785","Core concepts in pharmacoepidemiology: Key biases arising in pharmacoepidemiologic studies","Acton EK, Willis AW, Hennessy S.","Pharmacoepidemiol Drug Saf. 2023 Jan;32(1):9-18. doi: 10.1002/pds.5547. Epub 2022 Oct 20.","Acton EK","Pharmacoepidemiol Drug Saf","2023","2022/10/10","","","10.1002/pds.5547"
"36215113","HARmonized Protocol Template to Enhance Reproducibility of hypothesis evaluating real-world evidence studies on treatment effects: A good practices report of a joint ISPE/ISPOR task force","Wang SV, Pottegård A, Crown W, Arlett P, Ashcroft DM, Benchimol EI, Berger ML, Crane G, Goettsch W, Hua W, Kabadi S, Kern DM, Kurz X, Langan S, Nonaka T, Orsini L, Perez-Gutthann S, Pinheiro S, Pratt N, Schneeweiss S, Toussi M, Williams RJ.","Pharmacoepidemiol Drug Saf. 2023 Jan;32(1):44-55. doi: 10.1002/pds.5507. Epub 2022 Oct 10.","Wang SV","Pharmacoepidemiol Drug Saf","2023","2022/10/10","PMC9771861","NIHMS1820677","10.1002/pds.5507"
"36180248","Effect of tramadol and DOACs with special attention to dabigatran on concomitant use, on the risk of mayor bleeding using BIFAP database in Spain","Burgos-Gonzalez A, Huerta C, Peñalver MJ, Sordo L, Pulido J, Soriano LC.","Pharmacoepidemiol Drug Saf. 2023 Apr;32(4):397-406. doi: 10.1002/pds.5525. Epub 2022 Sep 30.","Burgos-Gonzalez A","Pharmacoepidemiol Drug Saf","2023","2022/09/30","","","10.1002/pds.5525"
"36148859","Abstracts of the 38th International Conference on Pharmacoepidemiology: Advancing Pharmacoepidemiology and Real-World Evidence for the Global Community, August 26-28, 2022, Copenhagen, Denmark","","Pharmacoepidemiol Drug Saf. 2022 Sep;31 Suppl 2:3-678. doi: 10.1002/pds.5518.","","Pharmacoepidemiol Drug Saf","2022","2022/09/23","","","10.1002/pds.5518"
"36129396","Examining the potential direct cardiovascular benefit of tumor-necrosis factor inhibitor in rheumatoid arthritis: Natural and controlled direct effect analyses","Yoshida K, Harrold LR, Middaugh N, Guan H, Stryker S, Karis E, Solomon DH.","Pharmacoepidemiol Drug Saf. 2023 Apr;32(4):407-415. doi: 10.1002/pds.5546. Epub 2022 Oct 13.","Yoshida K","Pharmacoepidemiol Drug Saf","2023","2022/09/21","","","10.1002/pds.5546"
"36129372","Record linkage of claims and cancer registries data-Evaluation of a deterministic linkage approach based on indirect personal identifiers","Kollhorst B, Reinders T, Grill S, Eberle A, Intemann T, Kieschke J, Meyer M, Nennecke A, Rathmann W, Pigeot I.","Pharmacoepidemiol Drug Saf. 2022 Dec;31(12):1287-1293. doi: 10.1002/pds.5545. Epub 2022 Oct 6.","Kollhorst B","Pharmacoepidemiol Drug Saf","2022","2022/09/21","","","10.1002/pds.5545"
"36125097","Anti-osteoporosis medication dispensing by clinical commissioning groups in England - an ecological study of variability in practice and of the effect of the Covid-19 pandemic","Janjua SS, Boardman HF, Sami A, Johansen A, Toh LS, Javaid KM.","Pharmacoepidemiol Drug Saf. 2023 Feb;32(2):248-255. doi: 10.1002/pds.5544. Epub 2022 Sep 30.","Janjua SS","Pharmacoepidemiol Drug Saf","2023","2022/09/20","PMC10092162","","10.1002/pds.5544"
"36125081","Regarding: Webster-Clark M., et al. Alternative analytic and matching approaches for the prevalent new-user design: a simulation study. Pharmacoepidemiol Drug Saf, 31, pp. 796-803; 2022","Dell'Aniello S, Renoux C, Suissa S.","Pharmacoepidemiol Drug Saf. 2022 Dec;31(12):1317-1318. doi: 10.1002/pds.5543. Epub 2022 Sep 30.","Dell'Aniello S","Pharmacoepidemiol Drug Saf","2022","2022/09/20","","","10.1002/pds.5543"
"36125022","Mobile apps for quick adverse drug reaction report: A scoping review","Parracha ER, Advinha AM, Lopes MJ, Oliveira-Martins S.","Pharmacoepidemiol Drug Saf. 2023 Jan;32(1):19-27. doi: 10.1002/pds.5542. Epub 2022 Sep 30.","Parracha ER","Pharmacoepidemiol Drug Saf","2023","2022/09/20","PMC10092107","","10.1002/pds.5542"
"36111444","Telemedicine use among patients with metastatic breast cancer during the COVID-19 pandemic: Differences by race, age, and region","Calip GS, Cohen A, Rohrer R, Wang X, Wang X, Webster A, Wu A, Griffith SD, Showalter TN, Miksad RA.","Pharmacoepidemiol Drug Saf. 2023 Jan;32(1):66-72. doi: 10.1002/pds.5541. Epub 2022 Oct 4.","Calip GS","Pharmacoepidemiol Drug Saf","2023","2022/09/16","PMC10091805","","10.1002/pds.5541"
"36089808","Partition testing for real-world evidence studies","Cafri G, Wood J, Gagne J.","Pharmacoepidemiol Drug Saf. 2022 Dec;31(12):1280-1286. doi: 10.1002/pds.5540. Epub 2022 Sep 20.","Cafri G","Pharmacoepidemiol Drug Saf","2022","2022/09/12","","","10.1002/pds.5540"
"36089797","Medicine use in children aged under 12 years-Population survey in Finland","Kesti J, Saastamoinen L, Lavikainen P, Sepponen K.","Pharmacoepidemiol Drug Saf. 2023 Feb;32(2):266-276. doi: 10.1002/pds.5539. Epub 2022 Sep 21.","Kesti J","Pharmacoepidemiol Drug Saf","2023","2022/09/12","PMC10087337","","10.1002/pds.5539"
"36076345","Kidney function and prescribed dose in middle-aged and older patients starting selective serotonin reuptake inhibitors","Zhu N, Lisinski A, Lagerberg T, Johnell K, Xu H, Carrero JJ, Chang Z.","Pharmacoepidemiol Drug Saf. 2022 Oct;31(10):1091-1101. doi: 10.1002/pds.5515. Epub 2022 Aug 10.","Zhu N","Pharmacoepidemiol Drug Saf","2022","2022/09/09","PMC9545078","","10.1002/pds.5515"
"36073295","Evaluating awareness, knowledge and practice of healthcare professionals following implementation of a revised pregnancy prevention programme for isotretinoin in Ireland: A multi-stakeholder cross-sectional study","Hughes JE, Buckley N, Looney Y, Kirwan G, Mullooly M, Bennett KE.","Pharmacoepidemiol Drug Saf. 2023 Feb;32(2):137-147. doi: 10.1002/pds.5538. Epub 2022 Oct 5.","Hughes JE","Pharmacoepidemiol Drug Saf","2023","2022/09/08","PMC10092126","","10.1002/pds.5538"
"36070795","Antibiotic utilisation in primary and revision total hip replacement patients: A registry linkage cohort study of 106 253 patients using the Australian Orthopaedic Association National Joint Replacement Registry","de Steiger RN, Pratt NL, Gulyani A, Duszynski KM, Inacio MC, Graves SE, Smith PN; Improving Joint Replacement Outcomes in Australia using National Data Linkage Study Working Group.","Pharmacoepidemiol Drug Saf. 2023 Feb;32(2):238-247. doi: 10.1002/pds.5522. Epub 2022 Sep 7.","de Steiger RN","Pharmacoepidemiol Drug Saf","2023","2022/09/07","","","10.1002/pds.5522"
"36065046","Thromboembolic events after Ad.26.COV2.S COVID-19 vaccine: Reports to the Vaccine Adverse Event Reporting System","Woo EJ, Mba-Jonas A, Thomas A, Baer B, Day B, Kim Y, Gomez-Lorenzo M, Nair N.","Pharmacoepidemiol Drug Saf. 2022 Nov;31(11):1174-1181. doi: 10.1002/pds.5523. Epub 2022 Sep 5.","Woo EJ","Pharmacoepidemiol Drug Saf","2022","2022/09/06","PMC9538147","","10.1002/pds.5523"
"36057777","Core concepts in pharmacoepidemiology: Validation of health outcomes of interest within real-world healthcare databases","Weinstein EJ, Ritchey ME, Lo Re V 3rd.","Pharmacoepidemiol Drug Saf. 2023 Jan;32(1):1-8. doi: 10.1002/pds.5537. Epub 2022 Sep 14.","Weinstein EJ","Pharmacoepidemiol Drug Saf","2023","2022/09/04","PMC9772105","NIHMS1834178","10.1002/pds.5537"
"36053913","Accuracy and validity of reported opioid prescription days' supply","Miracle DK, Slavova S, Brown JR, Dasgupta N, Harris S, Freeman PR.","Pharmacoepidemiol Drug Saf. 2022 Dec;31(12):1253-1261. doi: 10.1002/pds.5528. Epub 2022 Aug 30.","Miracle DK","Pharmacoepidemiol Drug Saf","2022","2022/09/02","PMC9729389","NIHMS1830402","10.1002/pds.5528"
"36039726","Role of private prescriptions in the long-term use of benzodiazepines and Z-drugs: A patient-related follow-up study","Grimmsmann T, Himmel W.","Pharmacoepidemiol Drug Saf. 2023 Jan;32(1):60-65. doi: 10.1002/pds.5536. Epub 2022 Sep 27.","Grimmsmann T","Pharmacoepidemiol Drug Saf","2023","2022/08/30","","","10.1002/pds.5536"
"36029480","Glucosamine and lower mortality and cancer incidence: Selection bias in the observational studies","Suissa K, Hudson M, Suissa S.","Pharmacoepidemiol Drug Saf. 2022 Dec;31(12):1272-1279. doi: 10.1002/pds.5535. Epub 2022 Sep 9.","Suissa K","Pharmacoepidemiol Drug Saf","2022","2022/08/27","","","10.1002/pds.5535"
"35999648","Antidepressant exposures associated with exploratory behavior among young children reported to United States poison control centers, 2000-2020","Francis M, Spiller HA, Badeti J, Casavant MJ, Michaels NL, Zhu M, Smith GA.","Pharmacoepidemiol Drug Saf. 2022 Nov;31(11):1206-1216. doi: 10.1002/pds.5534. Epub 2022 Sep 6.","Francis M","Pharmacoepidemiol Drug Saf","2022","2022/08/23","","","10.1002/pds.5534"
"35996833","Adverse events in the digital age and where to find them","Di Giovanni R, Cochrane A, Parker J, Lewis DJ.","Pharmacoepidemiol Drug Saf. 2022 Nov;31(11):1131-1139. doi: 10.1002/pds.5532. Epub 2022 Sep 9.","Di Giovanni R","Pharmacoepidemiol Drug Saf","2022","2022/08/23","","","10.1002/pds.5532"
"35996832","A systematic review of whether COVID-19 randomized controlled trials reported on demographic and clinical characteristics","Pak J, Lund JL, Keil A, Westreich D, Stürmer T, Wohl D, Farel C, Drummond MB, Webster-Clark M.","Pharmacoepidemiol Drug Saf. 2022 Dec;31(12):1219-1227. doi: 10.1002/pds.5533. Epub 2022 Oct 5.","Pak J","Pharmacoepidemiol Drug Saf","2022","2022/08/23","PMC9538362","NIHMS1831708","10.1002/pds.5533"
"35996825","Joint longitudinal trajectories of pain intensity and opioid prescription in veterans with back pain","Buta E, Gordon KS, Gueorguieva R, Becker WC, Heapy A, Bathulapalli H, Zeng Q, Redd D, Brandt C, Goulet J.","Pharmacoepidemiol Drug Saf. 2022 Dec;31(12):1262-1271. doi: 10.1002/pds.5531. Epub 2022 Sep 27.","Buta E","Pharmacoepidemiol Drug Saf","2022","2022/08/23","","","10.1002/pds.5531"
"35989512","Pre- and post-stroke oral antithrombotics and mortality in patients with ischaemic stroke","García Rodríguez LA, Gaist D, Balabanova Y, Brobert G, Sharma M, Cea Soriano L.","Pharmacoepidemiol Drug Saf. 2022 Nov;31(11):1182-1189. doi: 10.1002/pds.5530. Epub 2022 Sep 9.","García Rodríguez LA","Pharmacoepidemiol Drug Saf","2022","2022/08/22","PMC9825966","","10.1002/pds.5530"
"35984046","Visualizations throughout pharmacoepidemiology study planning, implementation, and reporting","Gatto NM, Wang SV, Murk W, Mattox P, Brookhart MA, Bate A, Schneeweiss S, Rassen JA.","Pharmacoepidemiol Drug Saf. 2022 Nov;31(11):1140-1152. doi: 10.1002/pds.5529. Epub 2022 Sep 9.","Gatto NM","Pharmacoepidemiol Drug Saf","2022","2022/08/19","PMC9826437","","10.1002/pds.5529"
"35976191","Identification of pregnancies in healthcare data: A changing landscape","Margulis AV, Huybrechts K.","Pharmacoepidemiol Drug Saf. 2023 Jan;32(1):84-86. doi: 10.1002/pds.5526. Epub 2022 Sep 3.","Margulis AV","Pharmacoepidemiol Drug Saf","2023","2022/08/17","","","10.1002/pds.5526"
"35976190","Meta-analysis with sample-standardization in multi-site studies","Shu D, Webster-Clark M, Platt RW, Toh S.","Pharmacoepidemiol Drug Saf. 2023 Jan;32(1):56-59. doi: 10.1002/pds.5527. Epub 2022 Sep 2.","Shu D","Pharmacoepidemiol Drug Saf","2023","2022/08/17","","","10.1002/pds.5527"
