"STUDY_ID","REVIEWERS","INCLUDE","AUTHORS","YEAR","TITLE","JOURNAL","DOI","ABSTRACT","PMID"
"21","Anna","YES","Choi H;Park Ha;Hyun Ig;Kim Jh;Hwang Yi;Jang Sh;Sim Ys;Shin Tr;Ko Y;Ban Gy;Hong Jy;Lee Cy;Lee Mg;Choi Jh","2022","Incidence and outcomes of adverse drug reactions to first-line anti-tuberculosis drugs and their effects on the quality of life: a multicenter prospective cohort study.","Pharmacoepidemiology And Drug Safety","10.1002/pds.5513","In tuberculosis (tb) treatment, adverse drug reactions (adrs) can interrupt treatment and decrease the quality of life (qol). We aimed to prospectively investigate the incidence of adrs to first-line anti-tb drugs and related outcomes and qol. Adult patients with tb who had been treated with first-line anti-tb drugs in five korean hospitals were enrolled. Adr questionnaire surveys and blood tests were performed four times serially, and qol was assessed on the fourth tb treatment week (±2 weeks). Of 410 enrolled patients with tb (males, 62%; mean age, 52.1 ± 18.1 years [those aged ≥65 years, 26.6%]), 67.8% experienced any adrs (≥ grade 2) to tb drugs. The most common adr was fatigue (53.2%), followed by itching (42.7%) and anorexia (41.7%). Older adult patients experienced relatively more adrs, including anorexia, dyspepsia, rash, dizziness, anemia, abnormal hepatic/renal function tests, and increased uric acid levels (p < 0.05). Treatment regimens changed for 9.5% of patients owing to adrs to anti-tb drugs. Patients with any adrs and older adult patients had significantly lower qol than their counterparts (p < 0.05). Old age (odds ratio [or], 1.02) and being male (or 2.65) were independently associated with adrs, whereas active smoking (or 4.73) and a relatively long treatment phase (or 5.13) were independently associated with hepatotoxicity. Adrs to first-line anti-tb drugs were common and related to relatively low qol, especially among older adults. Although 9.5% of patients had adr-related regimen changes, most patients with adrs completed treatments successfully.","35909258"
"22","Anna","maybe","Rasmussen L;Wettermark B;Steinke D;Pottegård A","2022","Core concepts in pharmacoepidemiology: measures of drug utilization based on individual-level drug dispensing data.","Pharmacoepidemiology And Drug Safety","10.1002/pds.5490","Drug utilization studies are essential to facilitate rational drug use in the society. In this review, we provide an overview of drug utilization measures that can be used with individual-level drug dispensing data, referencing additional reading on the individual analysis. This is intended to serve as a primer for those new to drug utilization research and a shortlist from which researchers can identify useful analytical approaches when designing their drug utilization study. We provide an overview of: (1) basic measures of drug utilization which are used to describe changes in drug use over time or compare drug use in different populations; (2) treatment adherence measures with specific focus on persistence and implementation; (3) how to measure drug combinations which is useful when assessing drug-drug interactions, concomitant treatment, and polypharmacy; (4) prescribing quality indicators and measures to assess variations in drug use which are useful tools to assess appropriate use of drugs; (5) proxies of prescription drug misuse and skewness in drug use; and (6) considerations when describing the characteristics of drug users or prescribers.","35819240"
"23","Anna","YES","Fortin Sp;Schuemie M","2022","Indirect covariate balance and residual confounding: an applied comparison of propensity score matching and cardinality matching.","Pharmacoepidemiology And Drug Safety","10.1002/pds.5510","Propensity score matching (psm) is subject to limitations associated with limited degrees of freedom and covariate overlap. Cardinality matching (cm), an optimization algorithm, overcomes these limitations by matching directly on the marginal distribution of covariates. This study compared the performance of psm and cm. Comparative cohort study of new users of angiotensin-converting enzyme inhibitor (acei) and β-blocker monotherapy identified from a large u.s. Administrative claims database. One-to-one matching was conducted through psm using nearest-neighbor matching (caliper = 0.15) and cm permitting a maximum standardized mean difference (smd) of 0, 0.01, 0.05, and 0.10 between comparison groups. Matching covariates included 37 patient demographic and clinical characteristics. Observed covariates included patient demographics, and all observed prior conditions, drug exposures, and procedures. Residual confounding was assessed based on the expected absolute systematic error of negative control outcome experiments. Psm and cm were compared in terms of post-match patient retention, matching and observed covariate balance, and residual confounding within a 10%, 1%, 0.25% and 0.125% sample group. The eligible study population included 182 235 (acei: 129363; β-blocker: 56872) patients. Cm achieved superior patient retention and matching covariate balance in all analyses. After psm, 1.6% and 28.2% of matching covariates were imbalanced in the 10% and 0.125% sample groups, respectively. No significant difference in observed covariate balance was observed between matching techniques. Cm permitting a maximum smd <0.05 was associated with improved residual bias as compared to psm. We recommend cm with more stringent balance criteria as an alternative to psm when matching on a set of clinically relevant covariates.","35811396"
"27","Anna","YES","Guillot J;Rentsch Ct;Gordon Ks;Justice Ac;Bezin J","2022","Potentially inappropriate medication use by level of polypharmacy among us veterans 49-64 and 65-70 years old.","Pharmacoepidemiology And Drug Safety","10.1002/pds.5506","Potentially inappropriate medications (pims) are medications contra-indicated in particular circumstances. We sought to characterize pims by level of polypharmacy by age, sex, and race/ethnicity. We performed a cross-sectional drug dispensing study using electronic health records available through the us department of veterans affairs. We extracted pharmacy fill and refill records during fiscal year 2016 (i.e., october 1, 2015-september 30, 2016) for all patients aged 49-70 who accessed care in the preceding fiscal year. Pims were defined by the combined beers and laroche (henceforth beers laroche) criteria used for older patients and the prompt criteria used for middle-aged. In the 1 499 586 patients aged 49-64, pims prevalence by prompt in patients with 0-4, 5-9, and ≥10 medications was 14.0%, 62.2%, and 86.1%, respectively, and by beers laroche was 14.3%, 63.4%, and 85.7%, respectively. In the 1 249 119 patients aged 65-70, pims prevalence by beers laroche was 14.8%, 59.9%, and 83.3%, and by prompt was 13.9%, 57.4%, and 82.0%, respectively. Meaningful differences in prevalence were shown by sex and race/ethnicity according to both set of criteria (e.g. Prompt in patients with 5-9 medications: 66.1% women vs. 59.3% men; standardized-mean-differences [smd] = 0.14; 61.7% of white vs. 54.5% of non-white; smd = 0.15). The most common pims were digestive, analgesic, antidiabetic, and psychotropic medications. Prevalence of pims was high and increased with polypharmacy. Beers laroche and prompt provided similar estimations inside and outside their target age, suggesting that pims are common among those with polypharmacy regardless of age.","35780391"
"29","Anna","YES","Ukah Uv;Aibibula W;Platt Rw;Dayan N;Reynier P;Filion Kb","2022","Time-related biases in perinatal pharmacoepidemiology: a systematic review of observational studies.","Pharmacoepidemiology And Drug Safety","10.1002/pds.5504","Time-related biases, such as immortal time and time-window bias, frequently occur in pharmacoepidemiologic research. However, the prevalence of these biases in perinatal pharmacoepidemiology is not well understood. To describe the frequency of time-related biases in observational studies of medications commonly used during pregnancy (antibiotic, antifungal, and antiemetic drugs) via systematic review. We searched medline and embase for observational studies published between january 2013 and september 2020 and examining the association between antibiotic, antifungal, or antiemetic drugs and adverse pregnancy outcomes, including spontaneous abortion, stillbirth, preterm delivery, small-for-gestational age, pre-eclampsia, and gestational diabetes. The proportion of studies with time-related biases was estimated overall and by type (immortal time bias, time-window bias). Our systematic review included 20 studies (16 cohort studies, 3 nested case-control studies, and 1 case-control study), of which 12 examined antibiotic, 6 antiemetic, and 2 anti-fungal drugs. Eleven studies (55%) had immortal time bias due to the misclassification of unexposed, event-free person-time between cohort entry and exposure initiation as exposed. No included study had time-window bias. The direction of effect varied for both studies with and without time-related bias, with many studies reporting very wide confidence intervals around the effect estimates, thus making the direction of effect less interpretable. However, studies with time-related bias were more likely to show protective or null associations compared with studies without time-related bias. Time-related biases occur frequently in observational studies of drug effects during pregnancy. The use of appropriate study design and analytical approaches is needed to prevent time-related biases and ensure study validity.","35753061"
"31","Anna","YES","Latvala L;Tiihonen M;Murtola Tj;Hartikainen S;Tolppanen Am","2022","Use of α1-adrenoceptor antagonists tamsulosin and alfuzosin and the risk of alzheimer's disease.","Pharmacoepidemiology And Drug Safety","10.1002/pds.5503","Tamsulosin has been associated with dementia, but the results have been inconsistent. Concerns have been raised about using exposure assessment time too close to the outcome. We investigated the association between use of α1-adrenoceptor antagonists indicated for benign prostate hyperplasia and risk of alzheimer's disease (ad) using different exposure windows. The study (24 602 cases and 98 397 matched controls) included men from the finnish nationwide nested case-control study on medication and alzheimer's disease (medalz). Cases received clinically verified ad diagnosis during 2005-2011 and were community-dwelling at the time of diagnosis. Use of tamsulosin and alfuzosin in 1995-2011 was identified from the prescription register and categorized based on whether it had occurred within 3 years before ad diagnosis (lag time) or before that. Dose-response analysis using defined daily doses of drug (ddds) was conducted. Associations were investigated with conditional logistic regression, adjusted for confounders and mediators. The use of α1-adrenoceptor antagonists before lag time associated with an increased risk of ad (or 1.24 [1.20-1.27]). After adjustment for comorbidities and concomitant drug use throughout the assessment time (confounders) and healthcare contacts within the lag period (mediators), the association weakened (aor 1.10 [1.06-1.14]). We found no evidence of dose-response-relationship when comparing the users of higher than median ddds to the users of lower than median ddds. Our findings, especially the lack of dose-response-relationship and attenuation after mediator adjustment, do not provide strong support for the previous hypothesis on α1-adrenoceptor antagonists as a risk factor for dementia.","35751619"
"32","Anna","NO","Hauben M","2022","Artificial intelligence in pharmacovigilance: do we need explainability?","Pharmacoepidemiology And Drug Safety","10.1002/pds.5501","Na","35747938"
"33","Anna","NO","Wyss R;Yanover C;El-Hay T;Bennett D;Platt Rw;Zullo Ar;Sari G;Wen X;Ye Y;Yuan H;Gokhale M;Patorno E;Lin Kj","2022","Machine learning for improving high-dimensional proxy confounder adjustment in healthcare database studies: an overview of the current literature.","Pharmacoepidemiology And Drug Safety","10.1002/pds.5500","Supplementing investigator-specified variables with large numbers of empirically identified features that collectively serve as 'proxies' for unspecified or unmeasured factors can often improve confounding control in studies utilizing administrative healthcare databases. Consequently, there has been a recent focus on the development of data-driven methods for high-dimensional proxy confounder adjustment in pharmacoepidemiologic research. In this paper, we survey current approaches and recent advancements for high-dimensional proxy confounder adjustment in healthcare database studies. We discuss considerations underpinning three areas for high-dimensional proxy confounder adjustment: (1) feature generation-transforming raw data into covariates (or features) to be used for proxy adjustment; (2) covariate prioritization, selection, and adjustment; and (3) diagnostic assessment. We discuss challenges and avenues of future development within each area. There is a large literature on methods for high-dimensional confounder prioritization/selection, but relatively little has been written on best practices for feature generation and diagnostic assessment. Consequently, these areas have particular limitations and challenges. There is a growing body of evidence showing that machine-learning algorithms for high-dimensional proxy-confounder adjustment can supplement investigator-specified variables to improve confounding control compared to adjustment based on investigator-specified variables alone. However, more research is needed on best practices for feature generation and diagnostic assessment when applying methods for high-dimensional proxy confounder adjustment in pharmacoepidemiologic studies.","35729705"
"36","Anna","YES","Hayes Cj;Koonce Rm;Gressler Le;Hu B;Williams Js;Martin Bc","2022","Association between opioid therapy trajectories and potential opioid-related adverse health events.","Pharmacoepidemiology And Drug Safety","10.1002/pds.5495","We identified associations between membership in seven group-based trajectories based on supply of filled opioid prescriptions and potential opioid-related adverse health events over a 720-day window. We identified two veteran cohorts with chronic non-cancer pain who initiated treatment with long-term opioid therapy between 2008 and 2015, excluding those with prior substance use disorder (n = 373 941) or non-sud, opioid-related adverse outcome (n = 405 631) diagnoses. Outcomes of interest included opioid use disorder, non-opioid drug use disorder, and alcohol use disorder for the first cohort; or accidents resulting in wounds or injuries, self-inflicted injuries, opioid-related accidents and overdoses, alcohol and non-opioid drug-related accidents and overdoses, and violence-related injuries for the second cohort. Using a cross-sectional design, veterans were followed until the specific outcome of interest was diagnosed, they died, the study ended, or they were lost to follow up. Accelerated failure time models were estimated for each outcome. Membership in persistent moderate days covered and persistent modest days covered trajectories was associated with decreased risk of opioid use disorder (moderate: θ = 0.59, 95%ci:0.54, 0.64; modest: θ = 0.54, 95%ci:0.50, 0.59) and opioid overdose (moderate: θ = 0.67,95%ci: 0.57, 0.79; modest: θ = 0.72, 95%ci:0.61, 0.85) versus higher-utilizing persistent users. Rapid discontinuation was associated with decreased risk of opioid use disorder (θ = 0.86, 95% ci:0.77, 0.95) and opioid overdose (θ = 0.54, 95%ci:0.41, 0.71), but increased risk of alcohol use disorder (θ = 1.07, 95%ci:1.00, 1.15) and other substance use disorders. Delayed discontinuation or delayed reduction was associated with increased risk for most opioid related adverse health events. Persistent use trajectories with low levels of opioid utilization were associated with lower risks of potential opioid-related adverse health events.","35695189"
"38","Anna","YES","Shahn Z;Spear P;Lu H;Jiang S;Zhang S;Deshmukh N;Xu S;Ng K;Welsch R;Finkelstein S","2022","Systematically exploring repurposing effects of antihypertensives.","Pharmacoepidemiology And Drug Safety","10.1002/pds.5491","With availability of voluminous sets of observational data, an empirical paradigm to screen for drug repurposing opportunities (i.e., beneficial effects of drugs on nonindicated outcomes) is feasible. In this article, we use a linked claims and electronic health record database to comprehensively explore repurposing effects of antihypertensive drugs. We follow a target trial emulation framework for causal inference to emulate randomized controlled trials estimating confounding adjusted effects of antihypertensives on each of 262 outcomes of interest. We then fit hierarchical models to the results as a form of postprocessing to account for multiple comparisons and to sift through the results in a principled way. Our motivation is twofold. We seek both to surface genuinely intriguing drug repurposing opportunities and to elucidate through a real application some study design decisions and potential biases that arise in this context.","35689299"
"39","Anna","YES","Gao S;He Z;Zhu J;Liang D;Zhao W;Yang S;Jiang W;Qiu K;Yu X;Wu J","2022","Ileus in patients treated with immune checkpoint inhibitors: a retrospective, pharmacovigilance study using food and drug administration adverse event reporting system database.","Pharmacoepidemiology And Drug Safety","10.1002/pds.5493","Immune checkpoint inhibitors (icis) have been widely used in cancer treatment; however, some case reports suggested that icis treatment might result in ileus. This study aims to comprehensively reveal the relationship between ileus and icis treatment in real-world cases from food and drug administration (fda) adverse event reporting system (faers). Reports from january 1, 2011 to december 31, 2020 were extracted from the faers. Icis-related adverse events in patients were defined as related to use of anti-programmed cell death protein 1 antibodies (pd-1, nivolumab and pembrolizumab), anti-programmed cell death-ligand 1 inhibitors (pd-l1, atezolizumab, durvalumab, avelumab, and cemiplimab), and anti-cytotoxic t-lymphocyte-associated protein 4 (ctla-4, ipilimumab and tremelimumab). Icis-related ileus cases were identified to characterize their clinical features. Reporting odds ratios (ror) and information component (ic) were used to assess the relationship between icis and ileus. Among the 105 001 cases related to icis, 245 were reported with ici-related ileus. The affected patients were mainly elderly (median age, 64.5 years) and male (58%, n = 143). The median onset for all cases was 36 (range 0-880) days, and no statistical difference was observed between monotherapy and combination therapy (pd-1 or pd-l1 plus ctla-4) (p = 0.21). Most patients required drug withdrawal treatment (n = 113, 74%) and can achieve a recovered-resolved state (n = 72, 46%). All icis were significantly associated with ileus (ror = 4.27, 95%cl: 3.75-4.85; ic = 2.04, 95%cl: 1.79-2.31). Ileus events were most commonly reported in pd-1 treatment (n = 164, ror = 3.83, 95%cl: 3.28-4.48; ic = 1.90, 95%cl: 1.62-2.21). This pharmacovigilance database analysis suggested that icis are related to ileus. However, combination therapy may not speed up the onset of ileus.","35689298"
"40","Anna","YES","Pocobelli G;Ichikawa L;Yu O;Green Bb;Meyers K;Gray R;Shea M;Chubak J","2022","Validation of international classification of diseases, tenth revision, clinical modification diagnosis codes for heart failure subtypes.","Pharmacoepidemiology And Drug Safety","10.1002/pds.5489","To estimate the positive predictive value (ppv) of international classification of diseases, tenth revision, clinical modification (icd-10-cm) diagnosis codes for identifying hf subtypes. We validated icd-10-cm hf diagnosis codes among kaiser permanente washington enrollees who were ≥18 years of age and had an icd-10-cm hf diagnosis code during 2017-2018 and a procedure code for an echocardiogram in the 12 months before through 6 months after the hf code. Left ventricular ejection fraction (lvef) ascertained from medical chart review was used as the gold standard for classifying patients as having reduced ejection fraction (ref), mid-range ejection fraction (mef), or preserved ejection fraction (pef). Among 6194 eligible patients, we randomly sampled 1000 for medical chart review. A total of 974 patients had lvef information in their chart. The icd-10-cm hf code group with the highest ppv for ref was i50.20-i50.23, ""systolic (congestive) heart failure,"" ppv = 41.4% (95% ci, 34.5-48.7%); and the highest ppv for mef or ref was also i50.20-i50.23, ppv = 70.2% (95% ci, 63.1-76.4%). The highest ppv for pef was the i50.30-i50.33 group, ""diastolic (congestive) heart failure,"" ppv = 92.0% (95% ci, 88.1-94.7%); and the highest ppv for mef or pef was also i50.30-i50.33, ppv = 97.7% (95% ci, 95.1-99.0%). If the accuracy measure of greatest interest is ppv, our results suggest that icd-10-cm hf codes alone may not be adequate for identifying patients with ref but may be adequate for identifying patients with pef. Hf coding practices may vary across settings, which may impact generalizability of our findings.","35670124"
"41","Anna","YES","Shah M;Hubbard Ra;Mamtani R;Marmarelis Me;Hennessy S","2022","Very high pd-l1 expression as a prognostic indicator of overall survival among patients with advanced non-small cell lung cancer receiving anti-pd-(l)1 monotherapies in routine practice.","Pharmacoepidemiology And Drug Safety","10.1002/pds.5487","Programmed death or ligand-1 (pd-(l)1) pathway inhibitors confer improved survival as the first-line treatment for advanced non-small cell lung cancer (ansclc) in patients with pd-l1 expression (pd-l1 + e ≥ 50%) compared to platinum-doublet chemotherapy and have become a standard therapy. Some recent evidence suggests that among ansclc patients with pd-l1 + e of ≥50% receiving pembrolizumab monotherapy, very high levels of pd-l1 + e (≥90%) may be associated with better outcomes. We sought to assess whether very high pd-l1 + e (≥90%) compared to high pd-l1 + e (50%-89%) is associated with an overall survival benefit in ansclc patients receiving anti-pd-(l)1 monotherapies. We conducted a single-site retrospective cohort study of ansclc patients who initiated pd-(l)1 inhibitor monotherapy as the first-line treatment from october 24, 2016, to august 25, 2021, and had a pd-l1 + e ≥ 50%. The primary outcome was overall survival, measured from the start of the first-line pd-(l)1 inhibitor monotherapy (index date) to date of death or last confirmed activity prior to the cohort exit date. Propensity score-based inverse probability weighting (ipw) was used to control for confounding in kaplan-meier curves and cox proportional hazard regression analysis. One hundred sixty-six patients with ansclc receiving pd-(l)1 inhibitor monotherapy met inclusion criteria. 54% were female, 90% received pembrolizumab, median age was 68 years, 70% had non-squamous cell carcinoma, 94% had a history of smoking, 29% had a kras mutation, and 37% had very high pd-l1 + e. Unweighted covariates at cohort entry were similar between groups (absolute standardized mean differences [smds] <0.1) except for race (smd = 0.2); age at therapy initiation (smd = 0.13); smoking status (smd = 0.13), and braf mutation status (smd = 0.11). After weighting, baseline covariates were well balanced (all absolute smds <0.1). In the weighted analysis, having a very high pd-l1 + e was associated with lower mortality (weighted hazard ratio 0.57, 95% ci 0.36-0.90) and longer median survival: 3.85 versus 1.49 years. Very high pd-l1 + e (≥90%) was associated with an overall survival benefit over high pd-l1 + e (50%-89%) in patients receiving the first-line pd-(l)1 inhibitor monotherapy in a model controlling for potential confounders. These findings should be confirmed in a larger real-world data set.","35670103"
"42","Anna","YES","Chinzowu T;Chyou Ty;Nishtala Ps","2022","Antibacterial-associated acute kidney injury among older adults: a post-marketing surveillance study using the fda adverse events reporting system.","Pharmacoepidemiology And Drug Safety","10.1002/pds.5486","Antibacterials induce a differential risk of acute kidney injury (aki) in older adults. This study investigated the reporting risk of aki associated with antibacterials using the individual case safety reports (icsrs) submitted to the food and drug administration adverse event reporting system (faers) database. A case/non-case method was used to assess aki risk associated with antibacterials between 1 january 2000 and 30 september 2021. Cases were icsrs for antibacterials with aki as preferred terms included in the medical dictionary of regulatory activities (meddra) system organ classes 'renal and urinary disorders' disorders. The analyses were completed on a de-duplicated data set containing only the recent version of the icsr. Signals were defined by a lower 95% confidence interval (ci) of reporting odds ratio (ror) ≥ 2, proportional reporting ratio (prr) ≥ 2, information component (ic) > 0, empirical bayes geometric mean (ebgm) > 1 and reports ≥4. Sensitivity analyses were conducted a priori to assess the robustness of signals. A total of 3 680 621 reports on ades were retrieved from faers over the study period, of which 92 194 were antibacterial reports. Gentamicin, sulfamethoxazole, trimethoprim and vancomycin consistently gave strong signals of disproportionality on all four disproportionality measures and across the different sensitivity analyses: gentamicin (ror = 2.95[2.51-3.46]), sulfamethoxazole (ror = 2.97[2.68-3.29]), trimethoprim (ror = 2.81[2.29-3.46]) and vancomycin (ror = 3.35[3.08-3.64]). Signals for gentamicin, sulfamethoxazole, trimethoprim and vancomycin were confirmed by using antibacterials as a comparator, adjusting for drug-related competition bias and event-related competition bias.","35670078"
