Timestamp,PMID (from spreadsheet),DOI (from spreadsheet) ,Title,Could the article share programming code?,Publication Type PDS,Publication Aim,Is the analysis based on simulated data? ,Is this COVID-19 research? (is COVID-19 or SARS-CoV-2 in title or abstract?) ,Who was the funder? ,Is this industry funding?,Which database(s) were used (LEAVE BLANK)? ,Which country/ies does the database cover? (NA if not does not apply) ,What language or platform was used for the analyses? ,Author affiliation (check all that apply) ,Is code supporting the analysis or method linked or referenced in the manuscript or in supporting information? ,Is the published code accessible without further contacting authors? ,Where is code shared? ,What parts of the analysis pipeline are covered by the code?,Does the code include instructions for how to run it? ,Does the article contain synthetic data to enable code to be run by others? ,If there is synthetic data or it is a simulation study; does the code run? ,Does the code have a license?,"If yes, what is the license? ",Does the article specify preprinting?,Are underlying data shared?,Are codelists shared?,Did the article specify whether the research was pre-registered? ,Does the article specify following a certain reporting guideline? ,"If yes, what reporting guidelines"
6/21/2023 16:44:33,35320605,10.1002/pds.5432,Cardiovascular events and all-cause mortality in patients with chronic obstructive pulmonary disease using olodaterol and other long-acting beta2-agonists,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,Boehringer Ingelheim,Yes,Danish National Registries,Denmark,None/Not Specified,"Industry, Academic",No,,,,,,,,,No,No,All,No,No,
6/21/2023 17:18:33,35297128,10.1002/pds.5430,Validation of actinic keratosis diagnosis and treatment codes among veterans living with HIV,"Yes, because it's an analysis of real or simulated data",Brief Report,Validation of codes/code algorithm,No,No,National Center for Advancing Translational Sciences of the National Institutes of Health,No,VA,United States,SAS,Academic,No,,,,,,,,,No,No,At least one,No,Yes,STROBE
6/21/2023 17:22:02,35285107,10.1002/pds.5428,Proton pump inhibitors may enhance the risk of citalopram- and escitalopram-associated sudden cardiac death among patients receiving hemodialysis,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,"National Institutes of Health; National Heart, Lung, and Blood Institute",No,U.S. Renal Data System (USRDS),US,SAS,Academic,No,,,,,,,,,No,No,All,No,No,
6/21/2023 17:28:03,35225407,10.1002/pds.5424,Effectiveness and use of reverse transcriptase polymerase chain reaction point of care testing in a large-scale COVID-19 surveillance system,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,Yes,National Football League,No,Primary data collection,United States,None/Not Specified,"Industry, Academic, Third sector",No,,,,,,,,,No,No,Not applicable,"Yes, the protocol or SAP was published",No,
6/21/2023 17:31:35,35218107,10.1002/pds.5421,Validation of diagnostic coding for interstitial lung diseases in an electronic health record system in Hong Kong,"Yes, because it's an analysis of real or simulated data",Original Article,Validation of codes/code algorithm,No,No,None,Don't know,"Primary data collection, CDARS",Hong Kong,R,Academic,No,,,,,,,,,No,No,All,No,No,
6/21/2023 17:43:31,35191114,10.1002/pds.5419,Background rates of five thrombosis with thrombocytopenia syndromes of special interest for COVID-19 vaccine safety surveillance: Incidence between 2017 and 2019 and patient profiles from 38.6 million people in six European countries,"Yes, because it's an analysis of real or simulated data",Original Article,Methodological,No,Yes,"European Medicines Agency,",No,"CPRD, SIDIAP, HIC Dundee (Tayside), IPCI (Netherlands), IQVIA LPD Italy and France, IQVIA DA Germany","UK, France, Netherlands, Spain, Italy, Germany",R,"Industry, Academic, Data Provider",Yes,Yes,Github,"Creation of analytical files (select study population and create variables), Statistical analysis","Yes, there is a README with instructions",No,Not applicable,No,,No,"No, but data access procedures are described (incl. ""available on request)",All,"Yes, in a public database with a detailed research outline, protocol or SAP",No,
6/21/2023 17:52:20,35187734,10.1002/pds.5418,Population-based prevalence of polypharmacy and patterns of medication use in southwestern Iran: A cross-sectional study,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,National Institute for Medical Research Development (NIMAD),No,Khuzestan Comprehensive Health Study,Iran,Stata,Academic,No,,,,,,,,,No,"No, but data access procedures are described (incl. ""available on request)",Not applicable,No,No,
6/21/2023 17:56:22,35137491,10.1002/pds.5416,Stability of individual dementia diagnoses in routine care: Implications for epidemiological studies,"Yes, because it's an analysis of real or simulated data",Original Article,Methodological,No,No,None,No,German Pharmacoepidemiological Research Database (GePaRD) ,Germany,SAS,Third sector,No,,,,,,,,,No,"No, but data access procedures are described (incl. ""available on request)",All,No,No,
6/21/2023 17:59:45,35122354,10.1002/pds.5414,Utility of fertility procedures and prenatal tests to estimate gestational age for live-births and stillbirths in electronic health plan databases,"Yes, because it's an analysis of real or simulated data",Original Article,Validation of codes/code algorithm,No,No,US FDA,No,Sentinel,US,"R, SAS","Industry, Academic, Regulatory",No,,,,,,,,,No,No,All,No,No,
6/21/2023 18:04:20,35092329,10.1002/pds.5413,Overview of the European post-authorisation study register post-authorization studies performed in Europe from September 2010 to December 2018,"Yes, because it's an analysis of real or simulated data",Original Article,"Guidance, Review of the EU PAS register",No,No,Universita degli Studi di Verona Within the CRUI-CARE Agreement,No,Primary data collection,European Union (EUPAS register) ,R,"Industry, Academic",No,,,,,,,,,No,No,Not applicable,"Yes, in a public database with a detailed research outline, protocol or SAP",No,
6/22/2023 21:01:10,35088482,10.1002/pds.5410,Sampling in the case-time-control design among drug users when outcome prevents further treatment,"Yes, because it's an analysis of real or simulated data",Original Article,Methodological,Partially,No,Innovation Fund Denmark,No,Primary data collection,Denmark,None/Not Specified,Academic,No,,,,,,,,,No,No,Not applicable,No,No,
6/22/2023 21:05:27,34965012,10.1002/pds.5405,Impact on In- and Out-of-Hospital Drug Prescriptions of Including a More Expensive Me-Too Antidepressant in a Hospital Drug Formulary: a Controlled Longitudinal Study,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,None,Not applicable,Galicia's Complex Data-Analysis System for Hospital Pharmacies (SIAC-RREE),Spain,None/Not Specified,"Academic, Healthcare Provider",No,,,,,,,,,No,"No, but data access procedures are described (incl. ""available on request)",Not applicable,No,No,
6/22/2023 21:09:19,34957616,10.1002/pds.5404,Data sources for drug utilization research in Latin American countries—A cross-national study: DASDUR-LATAM study,"Yes, because it's an analysis of real or simulated data",Original Article,Guidance,No,No,"nternational Society of Pharmacoepidemiology. This study was financed in part by the Coordenação de Aperfeiçoamento de Pessoal de Nível Superior - Brasil (CAPES) - Finance Code 001. The project was sponsored by ISPE, grant number ISPE/2018.",No,Primary data collection,Multiple in Latin America,None/Not Specified,"Academic, Government",No,,,,,,,,,No,No,Not applicable,No,No,
6/22/2023 21:13:47,34953160,10.1002/pds.5403,A comparison of confounder selection and adjustment methods for estimating causal effects using large healthcare databases,"Yes, because it's an analysis of real or simulated data",Original Article,Methodological,Yes,No,Canadian Institutes of Health Research; Fonds de Recherche du Québec - Santé; Natural Sciences and Engineering Research Council of Canada; Université Laval,No,Not Applicable,NA,None/Not Specified,Academic,Yes,No,Available on Request,Not possible to assess,,,,,,No,"No, but data access procedures are described (incl. ""available on request)",Not applicable,No,No,
6/22/2023 21:18:42,34919294,10.1002/pds.5402,Assessing adverse event reports of hysteroscopic sterilization device removal using natural language processing,"Yes, because it's an analysis of real or simulated data",Original Article,Methodological,No,No,"This study was supported by the Agency for Healthcare Research and Quality (Grant number 1R03HS026291-01, PI, Mao) and partially supported by the U.S. Food and Drug Administration (Grant number U01FD005478, PI, Sedrakyan)",No,adverse event reports from the Manufacturer and User Facility Device Experience database,US,"SAS, Python","Industry, Academic",Yes,Yes,Github,Illustrative or partial code (code snippet),"Yes, there is a README with instructions",Yes,Flag (investigate later due to software access),No,,No,"No, but synthetic data is made available",Not applicable,No,No,
6/22/2023 21:21:45,34913208,10.1002/pds.5401,Validation of diagnosis codes to identify hospitalized COVID-19 patients in health care claims data,"Yes, because it's an analysis of real or simulated data",Brief Report,Validation of codes/code algorithm,No,Yes,U.S. Food and Drug Administration,No,6 US claims databases + Sentinel,US,None/Not Specified,"Industry, Academic, Data Provider",No,,,,,,,,,No,No,All,No,No,
6/22/2023 21:24:48,34897888,10.1002/pds.5397,"Initiation of quarterly palmitate paliperidone in French clinical practice: Results from the observational, cross-sectional OPTIMUS study","Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No," Janssen-Cilag, France",Yes,Primary data collection,France,SAS,"Industry, Academic, Hospital",No,,,,,,,,,No,No,Not applicable,No,No,
6/22/2023 21:27:52,34894368,10.1002/pds.5395,The impact of tightened prescribing restrictions on proton pump inhibitor use in Australia: An evaluation using interrupted time series analysis,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,"Australian Government Research Training Program; National Health and Medical Research Council (NHMRC), Centre of Research Excellence in Medicines Intelligence, Grant/Award Number: 1196900; NHMRC Early Career Fellowship, Grant/Award Number: 1158763; University of New South Wales Scientia Fellowships",No,Australia's Pharmaceutical Benefits Scheme (PBS),Australia,R,Academic,No,,,,,,,,,No,No,All,No,No,
6/22/2023 21:30:58,34802175,10.1002/pds.5387,Patient characteristics and safety outcomes in new users of ticagrelor and clopidogrel—An observational cohort study in Sweden,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,AstraZeneca,Yes,Sweden National Registries,Sweden,None/Not Specified,Academic,No,,,,,,,,,No,No,All,No,No,
6/22/2023 21:34:55,34800063,10.1002/pds.5386,"Validity of a model using routinely collected data for identifying infections following gastric, colon, and liver cancer surgeries","Yes, because it's an analysis of real or simulated data",Original Article,Validation of codes/code algorithm,No,No,"Ministry of Education, Culture, Sports, Science and Technology",No," DPC data (hospitals, Japan) ",Japan,Stata,"Academic, Hospital",No,,,,,,,,,No,No,At least one,No,No,
6/22/2023 21:37:52,34757641,10.1002/pds.5384,"US emergency department visits for acute harms from over-the-counter cough and cold medications, 2017–2019","Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,None,Not applicable,National Electronic Injury Surveillance System-Cooperative Adverse Drug Event Surveillance,US,SAS,"Industry, Academic",No,,,,,,,,,No,No,Not applicable,No,No,
6/22/2023 21:39:58,34738287,10.1002/pds.5381,Utilization trend of gastric acid-suppressing agents in relation to analgesics,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,None,Not applicable,IQVIA Turkey,Turkey, SPSS 24.0 software and GraphPad Prism Version 6,Academic,No,,,,,,,,,No,No,At least one,No,No,
6/22/2023 21:40:41,34729863,10.1002/pds.5380,RE: Gout and sodium-glucose cotransporter-2 inhibitors,No,,,,,,,,,,,,,,,,,,,,,,,,,
6/22/2023 21:44:42,34714965,10.1002/pds.5378,Defining the duration of the dispensation of oral anticoagulants in administrative healthcare databases,"Yes, because it's an analysis of real or simulated data",Brief Report,Methodological,No,No,Fonds de Recherche du Québec - Santé (FRQS) Canadian Institutes of Health Research,No,Quebec healthcare administrative databases,Canada,None/Not Specified,Academic,No,,,,,,,,,No,No,No,No,No,
6/22/2023 21:47:07,34687250,10.1002/pds.5375,Use of antidepressants and risk of repeat self-harm in older adults 75+ with nonfatal self-harm: A 1-year prospective national study,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,Swedish Research Council,No,Sweden National Registries,Sweden,SAS,"Academic, Hospital",No,,,,,,,,,No,No,At least one,No,No,
6/22/2023 21:52:34,34657356,10.1002/pds.5372,"A systematic, concept-based method of developing the exposure measure for drug safety and effectiveness studies","Yes, because it's an analysis of real or simulated data",Review Articles,Guidance,No,No,"Michael J. Fox Foundation for Parkinson's Research, Grant/Award Number: 14834",No, Parkinson's Progression Markers Initiative (PPMI) database,"nited States, Europe, Israel, and Australia",None/Not Specified,Academic,No,,,,,,,,,No,"No, but data access procedures are described (incl. ""available on request)",Not applicable,No,No,
6/22/2023 21:56:37,34657354,10.1002/pds.5371,Generalizability and accuracy of IBM MarketScan health risk assessment instrument data for augmentation of commercial claims data,"Yes, because it's an analysis of real or simulated data",Brief Report,Methodological,No,No,None,Not applicable,IBM MarketScan/Truven,US,None/Not Specified,Academic,No,,,,,,,,,No,No,Published Elsewhere,No,No,
6/22/2023 21:57:31,34634166,10.1002/pds.5365,For consideration by pharmacoepidemiologists,No,,,,,,,,,,,,,,,,,,,,,,,,,
6/22/2023 22:00:16,34628689,10.1002/pds.5370,Risk of major congenital malformations associated with first-trimester exposure to propulsives: A health administrative database study in Japan,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,"Ministry of Health, Labour and Welfare of Japan (H23-iyaku-ippan-006) and the Japan Society for the Promotion of Science (19K09746 and 20K16070).",No,"health insurance claims developed and maintained by JMDC Inc. (Tokyo, Japan)",Japan,SAS,Academic,No,,,,,,,,,No,No,All,No,No,
6/22/2023 22:03:24,34623720,10.1002/pds.5369,Validity of claims-based algorithms to identify neurodevelopmental disorders in children,"Yes, because it's an analysis of real or simulated data",Original Article,Validation of codes/code algorithm,No,No,National Institute of Mental Health,No,Research Patient Data Registry (RPDR),US,None/Not Specified,"Academic, Hospital",No,,,,,,,,,No,No,All,No,No,
6/23/2023 13:40:23,34570942,10.1002/pds.5364,Exploring parity in female authorship of pharmacoepidemiology articles: A case study of the Canadian Network for Observational Drug Effect Studies and its citing articles,"Yes, because it's an analysis of real or simulated data",Original Article,Editorial/Opinion Piece,No,No,"Canadian Institutes of Health Research, Grant/Award Numbers: DSE-146021, DSE-111845",No,Primary data collection,Canada,R,Academic,Yes,Yes,Github,"Creation of analytical files (select study population and create variables), Statistical analysis","Yes, there is a README with instructions","No, but the raw data is provided",Flag (investigate later due to software access),No,,No,Yes  - raw data,Not applicable,No,No,
6/23/2023 13:44:13,34558760,10.1002/pds.5361,Physician adjudication of angioedema diagnosis codes in a population of patients with heart failure prescribed angiotensin-converting enzyme inhibitor therapy,"Yes, because it's an analysis of real or simulated data",Brief Report,Validation of codes/code algorithm,No,No,Novartis Pharma AG,Yes,"Kaiser Permanente (KP) Northern California, KP Southern California, KP Northwest, KP mid-Atlantic and the Henry Ford Health System (Detroit, MI, United States)",US,SAS,"Industry, Academic, Data Provider",No,,,,,,,,,No,No,All,No,No,
6/23/2023 13:49:05,34505314,10.1002/pds.5354,Off-label drug use in neonates and infants in Spain: A five-year observational study,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,None,Not applicable,"a private database (complete national scope) sorted by months of age and drug (branded name, active substance, strength, package and dosage form)",Spain,None/Not Specified,Academic,No,,,,,,,,,No,No,No,No,No,
6/23/2023 13:53:13,34498338,10.1002/pds.5353,Perinatal pharmacoepidemiology: How often are key methodological elements reported in publications?,"Yes, because it's an analysis of real or simulated data",Original Article,Review (systematic with or without meta-analysis),No,No,RTI Health Solutions,Yes,Primary data collection,NA,None/Not Specified,Industry,No,,,,,,,,,No,Yes  - raw data,Not applicable,No,No,
6/23/2023 13:56:23,34498314,10.1002/pds.5356,Emulation of a randomized controlled trial in ulcerative colitis with US and French claims data: Infliximab with thiopurines compared to infliximab monotherapy,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,Women's Hospital and Harvard Medical School,No,"IBM MarketScan/Truven, Optum, SNIIRAM/SNDS","US, France","R, SAS, A platform, specify in other, Aetion ","Academic, Hopsital",No,,,,,,,,,No,No,No,No,No,
6/23/2023 13:59:07,34453456,10.1002/pds.5352,Proton pump inhibitors long term use-trends and patterns over 15 years of a large health maintenance organization,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,None,Not applicable,Maccabi Healthcare Services (MHS,Israel ,SPSS,"Academic, Hospital",No,,,,,,,,,No,No,At least one,No,No,
6/23/2023 14:02:01,34435407,10.1002/pds.5350,Use of hydrochlorothiazide in Denmark following publication of skin cancer risk findings,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,None,No,Danish National Registries,Denmark,Stata,Academic,No,,,,,,,,,,"No, but data access procedures are described (incl. ""available on request)",No,No,No,
6/23/2023 14:07:18,34418227,10.1002/pds.5348,Validity of hospital ICD-10-GM codes to identify anaphylaxis,"Yes, because it's an analysis of real or simulated data",Original Article,Validation of codes/code algorithm,No,No,European Consortium of Iron Manufacturers,Yes,Primary data collection,Germany,SAS,"Industry, Academic, Hospital",No,,,,,,,,,No,No,All,No,No,
6/23/2023 18:38:14,34418198,10.1002/pds.5347,Acute kidney injury identification for pharmacoepidemiologic studies: Use of laboratory electronic acute kidney injury alerts versus electronic health records in Hospital Episode Statistics,"Yes, because it's an analysis of real or simulated data",Original Article,Validation of codes/code algorithm,No,No,None,No,,UK,SAS,"Academic, Data Provider, Hospital",No,,,,,,,,,No,"No, but data access procedures are described (incl. ""available on request)",At least one,No,No,
6/23/2023 18:47:40,34382718,10.1002/pds.5344,Trend changes of national zolpidem users and exposure cases after FDA drug safety communications,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,US Food and Drug Administration,No,,US,SAS,Regulatory,No,,,,,,,,,No,No,No,No,No,
6/25/2023 10:02:43,34382713,10.1002/pds.5340,Using multiple random index dates with the reverse waiting time distribution improves precision of estimated prescription durations,"Yes, because it's an analysis of real or simulated data",Original Article,Methodological,Partially,No,None,No,,Denmark,Stata,Academic,Yes,Yes,Published package (CRAN or ssc),"Methodology (package or function), There is a published package for the method proposed, but the code for the actual simulation study presented is noted as ""available on request"" ","Yes, this is a published package with documentation",No,Not applicable,Yes,GPL v3 (https://www.gnu.org/licenses/gpl-3.0.txt).,No,No,Not applicable,No,No,
6/25/2023 10:05:50,34382278,10.1002/pds.5341,Use of sedating medications around nursing home admission in Denmark,"Yes, because it's an analysis of real or simulated data",Original Article,Methodological,No,No,None,No,,Denmark,Stata,"Academic, Third sector",No,,,,,,,,,No,No,No,No,No,
6/25/2023 10:19:02,34378828,10.1002/pds.5339,Validation of a claims-based algorithm for identifying non-infectious pneumonitis in patients diagnosed with lung cancer,"Yes, because it's an analysis of real or simulated data",Original Article,Validation of codes/code algorithm,No,No,"National Center for Advancing Translational Sciences, a component of the National Institutes of Health, Grant/Award Number: UL1TR003017; Rutgers Chancellor's Global Health Scholarship",No,,US,None/Not Specified,Academic,No,,,,,,,,,No,No,At least one,No,No,
6/25/2023 10:23:06,34322934,10.1002/pds.5336,Utilization of opioid versus non-opioid analgesics in Medicaid and CHIP enrolled children with current asthma,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,"The study was supported and funded by the Agency for Healthcare Research and Quality (AHRQ), Project Grant Number: 1R03HS026790-01",No,,US,SAS,"Academic, Health Insurer",No,,,,,,,,,No,No,At least one,No,No,
6/25/2023 10:27:45,34292640,10.1002/pds.5333,"Method used to identify adenomyosis and potentially undiagnosed adenomyosis in a large, U.S. electronic health record database","Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,AbbVie,No,,US,None/Not Specified,"Industry, Academic",No,,,,,,,,,No,No,Not applicable,No,Yes,Good Pharmacoepidemiology Practices
6/25/2023 10:30:15,34251721,10.1002/pds.5329,Prescriptions of analgesics during chronic cancer disease trajectories: A complete national cohort study,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,internal funding from the authors' institutions,No,,Norway,R,"Academic, Government",No,,,,,,,,,No,No,No,No,No,
6/25/2023 10:35:37,34251702,10.1002/pds.5328,Bias of time-varying exposure effects due to time-varying covariate measurement strategies,"Yes, because it's an analysis of real or simulated data",Original Article,Methodological,Yes,No,NWO-Vidi project 917.16.430,No,,NA,R,Academic,Yes,Yes,Supplementary materials (doc or pdf),"Creation of analytical files (select study population and create variables), Statistical analysis",No,Not applicable,Flag (investigate later due to software access),No,,No,Not applicable to this type of analysis,Not applicable,No,No,
6/25/2023 10:38:54,34245081,10.1002/pds.5327,Hepatitis B vaccine and risk of acute myocardial infarction among individuals with diabetes mellitus,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,Kaiser Permanente Southern California,Yes,,US,SAS,Academic,No,,,,,,,,,,No,At least one,No,No,
6/25/2023 10:41:38,34245078,10.1002/pds.5324,"Utilization of drugs with reports on potential efficacy or harm on COVID-19 before, during, and after the first pandemic wave","Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,Yes,None,No,,Germany,None/Not Specified,"Industry, Academic, Government",No,,,,,,,,,No,No,No,No,No,
6/25/2023 10:44:06,34212435,10.1002/pds.5321,Assessing polypharmacy in the older population: Comparison of a self-reported and prescription based method,"Yes, because it's an analysis of real or simulated data",Original Article,Methodological,No,No,National Institute for Health and Disability Insurance; Federal and Inter-Federated Belgian Public Health authorities,No,,Belgium,"Stata, SAS","Academic, Third sector, Government",No,,,,,,,,,No,No,At least one,No,No,
6/25/2023 10:47:25,34181291,10.1002/pds.5319,Use of intravenous iron and risk of anaphylaxis: A multinational observational post-authorisation safety study in Europe,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,Consortium of IV Iron manufacturing companies,Yes,,EU,SAS,"Industry, Academic, Hospital",No,,,,,,,,,No,No,At least one,"Yes, in a public database with a detailed research outline, protocol or SAP",No,
6/25/2023 10:54:18,34173286,10.1002/pds.5317,Major bleeding in users of direct oral anticoagulants in atrial fibrillation: A pooled analysis of results from multiple population-based cohort studies,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,Canadian Institutes of Health Research,No,,EU and Canada,R,"Academic, Data Provider",No,,,,,,,,,No,"No, but data access procedures are described (incl. ""available on request)",At least one,"Yes, in a public database with a detailed research outline, protocol or SAP",Yes,ENCePP Code of Conduct 
6/25/2023 10:57:47,34169607,10.1002/pds.5312,Prevalence of prescription opioid use during pregnancy in eight US health plans during 2001–2014,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,FDA Contract,No,,US,SAS,"Industry, Academic, Regulatory",No,,,,,,,,,No,No,No,No,No,
6/25/2023 11:00:03,34101945,10.1002/pds.5303,Risk of clinically relevant hyperglycemia with metoprolol compared to carvedilol in older adults with heart failure and diabetes,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,New Jersey Alliance for Clinical and Translational Science,No,,US,SAS,Academic,No,,,,,,,,,No,No,No,No,No,
6/25/2023 11:02:55,34096151,10.1002/pds.5302,No effect modification of influenza virus vaccine effectiveness by age or chronic condition was observed in the 2010/11 to 2017/18 seasons,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,European Centre for Disease Prevention and Control,No,,Portugal,"R, Stata","Academic, Government",No,,,,,,,,,No,No,Not applicable,No,No,
6/25/2023 11:06:14,34092001,10.1002/pds.5301,A review of the sampling methodology used in studies evaluating the effectiveness of risk minimisation measures in Europe,"Yes, because it's an analysis of real or simulated data",Original Article,Review (narrative),No,No,None,No,,EU,"Python, Excel",Industry,No,,,,,,,,,No,No,Not applicable,No,No,
6/25/2023 11:09:58,34089206,10.1002/pds.5300,Validation of an ICD-10-based algorithm to identify stillbirth in the Sentinel System,"Yes, because it's an analysis of real or simulated data",Original Article,Validation of codes/code algorithm,No,No,U.S. Food and Drug Administration,No,,US,None/Not Specified,"Industry, Academic, Regulatory",No,,,,,,,,,No,No,At least one,No,No,
6/25/2023 11:47:49,34053137,10.1002/pds.5299,Using administrative healthcare database records to study trends in prescribed medication dispensed during pregnancy in Belgium from 2003 to 2017,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,None,No,,Belgium,"Stata, SAS","Academic, Government",No,,,,,,,,,No,No,At least one,No,No,
